"","AFG","ALB","DZA","AGO","ATG","ARG","ARM","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BTN","BOL","BIH","BWA","BRA","BRN","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COG","CRI","HRV","CUB","CYP","CZE","CIV","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GRD","GTM","GIN","GNB","GUY","HTI","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","FSM","MNG","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","LCA","VCT","WSM","STP","SAU","SEN","SRB","SYC","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TON","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VUT","VEN","VNM","YEM","ZMB","ZWE"
"0-1",0.051,0.01,0.021,0.052,0.005,0.009,0.012,0.003,0.002,0.025,0.009,0.006,0.027,0.011,0.003,0.003,0.011,0.062,0.026,0.028,0.005,0.03,0.012,0.007,0.006,0.052,0.047,0.024,0.051,0.004,0.017,0.088,0.074,0.007,0.008,0.012,0.036,0.007,0.003,0.004,0.002,0.002,0.06,0.014,0.07,0.003,0.05,0.024,0.016,0.017,0.012,0.064,0.031,0.002,0.037,0.018,0.002,0.003,0.031,0.04,0.009,0.002,0.039,0.003,0.014,0.021,0.056,0.055,0.024,0.049,0.015,0.004,0.001,0.039,0.02,0.013,0.024,0.002,0.003,0.002,0.014,0.002,0.014,0.009,0.034,0.046,0.007,0.017,0.047,0.005,0.006,0.067,0.05,0.01,0.004,0.003,0.032,0.039,0.007,0.007,0.069,0.004,0.051,0.01,0.012,0.026,0.012,0.021,0.052,0.037,0.029,0.029,0.003,0.004,0.016,0.05,0.066,0.002,0.008,0.066,0.013,0.042,0.016,0.011,0.02,0.004,0.002,0.007,0.003,0.013,0.006,0.006,0.028,0.01,0.015,0.015,0.024,0.011,0.031,0.005,0.011,0.084,0.002,0.005,0.002,0.021,0.083,0.031,0.002,0.008,0.042,0.016,0.05,0.002,0.003,0.015,0.035,0.009,0.008,0.041,0.048,0.017,0.015,0.01,0.01,0.033,0.036,0.008,0.006,0.003,0.038,0.005,0.011,0.02,0.022,0.013,0.016,0.041,0.042,0.036
"1-4",0.005,0,0.001,0.007,0.001,0,0,0,0,0.001,0,0,0.002,0,0,0,0.001,0.01,0.001,0.002,0,0.002,0,0,0,0.009,0.006,0.001,0.007,0,0.001,0.01,0.015,0,0,0.001,0.004,0,0,0,0,0,0.007,0.001,0.006,0,0.003,0.001,0.001,0.001,0.001,0.007,0.003,0,0.004,0.001,0,0,0.003,0.006,0,0,0.004,0,0,0.001,0.008,0.008,0.001,0.004,0.001,0,0,0.003,0.001,0.001,0.001,0,0,0,0.001,0,0.001,0,0.003,0.003,0,0.001,0.004,0,0,0.005,0.004,0.001,0,0,0.003,0.004,0,0,0.012,0,0.007,0.001,0,0.002,0.001,0.001,0.005,0.003,0.003,0.002,0,0,0.001,0.011,0.011,0,0,0.004,0.001,0.003,0.001,0.001,0.001,0,0,0,0,0.001,0,0,0.002,0,0,0.001,0.002,0,0.003,0,0,0.008,0,0,0,0.001,0.014,0.002,0,0,0.005,0.001,0.005,0,0,0.001,0.001,0,0,0.002,0.006,0.001,0.001,0,0,0.002,0.004,0,0,0,0.004,0,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.004
"5-9",0.002,0,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,0,0.001,0,0.001,0,0,0,0.004,0.004,0.001,0.004,0,0,0.003,0.003,0,0,0,0.001,0,0,0,0,0,0.004,0,0.003,0,0.002,0,0,0,0,0.003,0.002,0,0.002,0,0,0,0.001,0.002,0,0,0.002,0,0,0,0.003,0.003,0.001,0.002,0,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0.003,0.002,0.001,0,0,0.002,0.001,0,0,0.003,0,0.001,0,0,0.001,0,0,0.002,0.001,0.001,0.001,0,0,0,0.004,0.003,0,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0.002,0,0,0.003,0,0,0,0.001,0.004,0.001,0,0,0.001,0,0.002,0,0,0.002,0,0,0,0.001,0.003,0,0,0,0,0,0.002,0,0,0,0.002,0,0,0,0.001,0,0,0.001,0.002,0.002
"10-14",0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.001,0,0.001,0,0,0,0.002,0.003,0,0.002,0,0,0.002,0.002,0,0,0,0.001,0,0,0,0,0,0.003,0,0.002,0,0.001,0,0,0,0,0.001,0.001,0,0.001,0,0,0,0.002,0.001,0,0,0.001,0,0,0,0.002,0.002,0,0.001,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002,0.002,0.001,0,0,0.001,0.001,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0.004,0.002,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0.001,0,0.002,0,0,0.003,0,0,0,0,0.002,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0,0.001,0.001,0.002
"15-19",0.002,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0.002,0.001,0.001,0,0.001,0.001,0,0,0.003,0.003,0.001,0.003,0,0,0.004,0.004,0,0,0.001,0.002,0,0,0,0,0,0.004,0.001,0.002,0,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0,0.002,0.001,0,0,0.001,0.003,0,0,0.002,0,0,0.001,0.003,0.002,0.001,0.002,0.001,0,0,0.001,0.001,0,0.001,0,0,0,0.001,0,0,0,0.001,0.001,0,0,0.001,0,0,0.003,0.002,0.001,0,0,0.002,0.002,0,0,0.003,0,0.002,0,0,0.001,0,0,0.002,0.001,0.001,0.001,0,0,0.001,0.002,0.004,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0.001,0,0.001,0,0,0.005,0,0,0,0.001,0.003,0.001,0,0.001,0.002,0.001,0.003,0,0,0.003,0,0,0,0.001,0.002,0,0.001,0,0.001,0.001,0.003,0,0,0,0.002,0,0,0.001,0,0.001,0,0.002,0.002,0.002
"20-24",0.003,0.001,0.001,0.003,0,0.001,0,0,0,0,0.001,0,0.001,0,0,0,0.001,0.003,0.001,0.001,0,0.002,0.001,0,0,0.003,0.004,0.001,0.004,0,0.001,0.005,0.005,0,0,0.001,0.003,0,0,0,0,0,0.005,0.001,0.003,0,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0,0.002,0.001,0,0,0.002,0.004,0,0,0.003,0,0,0.001,0.004,0.002,0.001,0.002,0.001,0,0,0.002,0.001,0.001,0.002,0,0,0,0.001,0,0.001,0.001,0.002,0.001,0,0.001,0.002,0,0.001,0.005,0.002,0.001,0,0,0.002,0.002,0,0,0.004,0,0.002,0,0.001,0.001,0,0.001,0.003,0.001,0.002,0.001,0,0,0.001,0.003,0.005,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0.002,0,0,0,0.002,0.001,0.002,0,0,0.007,0,0,0,0.001,0.004,0.002,0,0.001,0.002,0.001,0.004,0,0,0.004,0,0.001,0,0.001,0.003,0,0.001,0,0.001,0.001,0.003,0,0,0,0.003,0.001,0,0.001,0.001,0.001,0,0.002,0.003,0.003
"25-29",0.003,0.001,0.001,0.003,0.001,0.001,0,0,0,0,0.001,0,0.001,0.001,0,0,0.001,0.003,0.002,0.002,0,0.002,0.001,0.001,0,0.004,0.004,0.001,0.005,0,0.001,0.006,0.006,0,0.001,0.001,0.004,0.001,0,0,0,0,0.006,0.001,0.004,0,0.003,0.001,0.001,0.001,0.001,0.004,0.002,0,0.002,0.001,0,0,0.003,0.004,0,0,0.003,0,0.001,0.001,0.004,0.003,0.002,0.003,0.002,0,0,0.002,0.001,0,0.002,0,0,0,0.001,0,0.001,0.001,0.003,0.002,0,0.001,0.002,0,0.001,0.008,0.003,0.001,0,0,0.002,0.003,0,0,0.005,0,0.003,0.001,0.001,0.001,0.001,0.001,0.005,0.002,0.003,0.001,0,0,0.001,0.004,0.006,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0.002,0.001,0.001,0,0.002,0,0.002,0,0.001,0.007,0,0,0,0.001,0.005,0.003,0,0.001,0.003,0.001,0.006,0,0,0.004,0.001,0.001,0,0.001,0.004,0.001,0.001,0,0.001,0.001,0.004,0.001,0,0,0.004,0.001,0,0.001,0.001,0.001,0.001,0.003,0.004,0.005
"30-34",0.003,0.001,0.001,0.003,0.002,0.001,0,0,0,0.001,0.002,0,0.001,0.001,0.001,0,0.001,0.004,0.003,0.002,0,0.004,0.001,0.001,0.001,0.004,0.005,0.002,0.007,0,0.001,0.008,0.007,0,0.001,0.001,0.004,0.001,0,0.001,0,0,0.008,0.001,0.004,0,0.004,0.002,0.001,0.001,0.001,0.005,0.003,0.001,0.003,0.001,0,0,0.003,0.004,0.001,0,0.004,0,0.001,0.001,0.005,0.005,0.003,0.004,0.002,0,0,0.002,0.002,0.001,0.002,0,0,0,0.001,0,0.001,0.001,0.003,0.002,0,0.001,0.002,0.001,0.001,0.012,0.004,0.001,0.001,0,0.003,0.004,0.001,0,0.005,0,0.003,0.001,0.001,0.002,0.001,0.001,0.006,0.002,0.004,0.001,0,0.001,0.001,0.004,0.007,0,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0,0,0,0,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002,0.001,0.002,0,0.001,0.007,0,0,0,0.001,0.006,0.005,0,0.001,0.003,0.002,0.008,0,0,0.004,0.001,0.001,0,0.001,0.005,0.001,0.002,0.001,0.001,0.001,0.005,0.001,0,0,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.006
"35-39",0.004,0.001,0.001,0.004,0.002,0.001,0.001,0.001,0,0.001,0.003,0,0.002,0.001,0.001,0.001,0.002,0.004,0.004,0.003,0.001,0.005,0.001,0.001,0.001,0.005,0.006,0.003,0.01,0.001,0.001,0.012,0.009,0.001,0.001,0.001,0.006,0.001,0.001,0.001,0,0.001,0.011,0.001,0.005,0,0.005,0.002,0.001,0.001,0.002,0.006,0.004,0.001,0.005,0.002,0.001,0.001,0.005,0.005,0.001,0,0.005,0,0.001,0.002,0.005,0.007,0.003,0.005,0.002,0.001,0,0.002,0.002,0.001,0.002,0,0,0,0.002,0,0.001,0.002,0.004,0.002,0.001,0.002,0.003,0.001,0.001,0.017,0.005,0.001,0.001,0,0.004,0.005,0.001,0,0.006,0,0.003,0.001,0.001,0.002,0.001,0.001,0.009,0.003,0.007,0.002,0.001,0.001,0.002,0.005,0.009,0,0.001,0.002,0.001,0.003,0.002,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,0.002,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001,0.001,0.008,0,0.001,0.001,0.002,0.007,0.008,0,0.001,0.004,0.002,0.011,0,0,0.004,0.001,0.001,0.001,0.001,0.006,0.001,0.002,0.001,0.001,0.002,0.005,0.002,0,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.006,0.009
"40-44",0.005,0.001,0.002,0.005,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.002,0.001,0.003,0.006,0.005,0.003,0.001,0.006,0.002,0.002,0.002,0.006,0.007,0.003,0.011,0.001,0.002,0.015,0.01,0.001,0.001,0.002,0.007,0.001,0.001,0.001,0.001,0.001,0.012,0.002,0.006,0.001,0.007,0.003,0.002,0.002,0.002,0.007,0.005,0.001,0.006,0.003,0.001,0.001,0.006,0.006,0.002,0.001,0.006,0.001,0.002,0.002,0.006,0.007,0.005,0.006,0.003,0.001,0.001,0.003,0.003,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.002,0.003,0.005,0.003,0.001,0.002,0.004,0.002,0.002,0.018,0.006,0.002,0.002,0.001,0.005,0.007,0.002,0.001,0.006,0.001,0.004,0.002,0.001,0.003,0.002,0.001,0.01,0.003,0.008,0.003,0.001,0.001,0.002,0.006,0.01,0.001,0.001,0.003,0.001,0.004,0.003,0.002,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.004,0.004,0.003,0.001,0.004,0.002,0.003,0.001,0.002,0.01,0.001,0.001,0.001,0.003,0.008,0.007,0.001,0.001,0.005,0.003,0.011,0.001,0.001,0.004,0.002,0.002,0.001,0.002,0.007,0.002,0.003,0.001,0.001,0.003,0.006,0.002,0.001,0.001,0.006,0.002,0.002,0.002,0.002,0.002,0.001,0.004,0.007,0.01
