"","AFG","ALB","DZA","AGO","ATG","ARG","ARM","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BTN","BOL","BIH","BWA","BRA","BRN","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COG","CRI","HRV","CUB","CYP","CZE","CIV","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GRD","GTM","GIN","GNB","GUY","HTI","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","FSM","MNG","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","LCA","VCT","WSM","STP","SAU","SEN","SRB","SYC","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TON","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VUT","VEN","VNM","YEM","ZMB","ZWE"
"0-1",0.06,0.012,0.023,0.063,0.005,0.011,0.013,0.004,0.003,0.026,0.009,0.006,0.03,0.013,0.003,0.003,0.014,0.071,0.031,0.033,0.006,0.035,0.014,0.008,0.009,0.06,0.058,0.031,0.061,0.005,0.02,0.103,0.087,0.008,0.008,0.014,0.044,0.008,0.004,0.004,0.002,0.003,0.077,0.016,0.082,0.003,0.059,0.028,0.02,0.018,0.014,0.076,0.039,0.003,0.046,0.021,0.002,0.003,0.038,0.048,0.011,0.003,0.046,0.004,0.016,0.026,0.067,0.069,0.03,0.058,0.018,0.005,0.002,0.035,0.024,0.014,0.029,0.003,0.003,0.003,0.017,0.002,0.015,0.011,0.041,0.053,0.008,0.02,0.057,0.006,0.006,0.08,0.057,0.012,0.005,0.004,0.039,0.047,0.007,0.008,0.078,0.005,0.063,0.012,0.013,0.03,0.018,0.025,0.06,0.045,0.035,0.031,0.003,0.004,0.019,0.058,0.075,0.002,0.009,0.07,0.015,0.047,0.019,0.013,0.024,0.004,0.002,0.008,0.003,0.015,0.009,0.008,0.034,0.012,0.018,0.017,0.03,0.012,0.038,0.005,0.013,0.098,0.002,0.006,0.002,0.024,0.096,0.038,0.003,0.009,0.051,0.019,0.06,0.002,0.004,0.017,0.042,0.012,0.009,0.048,0.059,0.012,0.018,0.012,0.011,0.048,0.044,0.009,0.007,0.004,0.044,0.006,0.013,0.025,0.025,0.015,0.019,0.048,0.049,0.045
"1-4",0.005,0,0.001,0.008,0.001,0,0,0,0,0.001,0.001,0,0.002,0,0,0,0.001,0.009,0.002,0.002,0,0.002,0,0,0,0.008,0.006,0.001,0.007,0,0.001,0.01,0.015,0,0,0.001,0.004,0,0,0,0,0,0.007,0.001,0.006,0,0.003,0.001,0.001,0.001,0.001,0.007,0.003,0,0.005,0.001,0,0,0.003,0.006,0,0,0.005,0,0,0.001,0.008,0.009,0.002,0.004,0.001,0,0,0.002,0.001,0.001,0.002,0,0,0,0.001,0,0.001,0,0.004,0.003,0,0.001,0.004,0,0,0.006,0.004,0.001,0,0,0.003,0.005,0,0,0.012,0,0.007,0.001,0.001,0.001,0.001,0.001,0.005,0.003,0.003,0.002,0,0,0.001,0.011,0.01,0,0,0.004,0.001,0.003,0.001,0.001,0.002,0,0,0,0,0.001,0,0,0.003,0,0.001,0.001,0.002,0,0.004,0,0.001,0.009,0,0,0,0.001,0.014,0.002,0,0,0.005,0.001,0.005,0,0,0.001,0.002,0,0,0.002,0.007,0.001,0.001,0,0,0.002,0.004,0,0,0,0.004,0,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.004
"5-9",0.002,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.001,0,0.001,0,0,0,0.003,0.004,0.001,0.005,0,0,0.004,0.003,0,0,0,0.001,0,0,0,0,0,0.003,0.001,0.003,0,0.003,0,0,0.001,0,0.003,0.002,0,0.003,0,0,0,0.001,0.002,0,0,0.002,0,0,0,0.002,0.003,0.001,0.003,0,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0.002,0.002,0,0,0.002,0,0,0.003,0.002,0.001,0,0,0.002,0.002,0,0,0.003,0,0.001,0,0,0.001,0.001,0,0.002,0.002,0.001,0.001,0,0,0,0.005,0.003,0,0,0.001,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0.002,0,0,0.001,0.002,0,0.002,0,0.001,0.003,0,0,0,0.001,0.004,0.001,0,0,0.001,0,0.003,0,0,0.002,0.001,0,0,0.001,0.003,0.001,0,0,0,0,0.002,0,0,0,0.002,0,0,0,0.001,0,0,0.001,0.003,0.002
"10-14",0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.001,0,0.001,0,0,0,0.002,0.002,0,0.002,0,0,0.002,0.002,0,0,0.001,0.001,0,0,0,0,0,0.002,0,0.002,0,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0.003,0.001,0,0,0.001,0,0,0,0.002,0.002,0.001,0.002,0.001,0,0,0.001,0,0,0.001,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0.002,0.002,0.001,0,0,0.001,0.001,0,0.001,0.002,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0,0.001,0.004,0.001,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0.002,0,0,0.001,0,0,0,0,0.002,0.001,0,0,0.001,0,0.002,0,0,0.003,0,0,0,0,0.002,0,0,0,0,0,0.002,0,0,0,0.001,0,0,0,0,0,0,0.001,0.001,0.002
"15-19",0.003,0.001,0.001,0.003,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0,0.002,0.002,0,0.001,0.002,0.003,0.001,0.004,0,0.001,0.005,0.005,0.001,0,0.003,0.003,0.001,0,0,0,0,0.004,0.001,0.003,0,0.003,0.001,0.001,0.001,0.002,0.003,0.002,0.001,0.002,0.001,0,0,0.002,0.003,0.001,0,0.002,0,0,0.002,0.002,0.002,0.001,0.003,0.001,0,0.001,0.001,0.001,0.001,0.002,0,0,0,0.001,0,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0,0.003,0.002,0.002,0.001,0,0.002,0.002,0.001,0,0.003,0,0.002,0.001,0.001,0.001,0.001,0,0.003,0.002,0.002,0.001,0,0.001,0.001,0.002,0.003,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001,0.001,0.002,0.001,0.001,0,0.002,0.001,0.002,0,0,0.005,0,0,0,0.001,0.004,0.002,0,0.001,0.002,0.001,0.003,0,0,0.005,0.001,0.002,0,0.001,0.002,0.001,0.003,0,0.001,0.001,0.003,0.001,0.001,0,0.003,0.001,0.001,0.001,0.001,0.004,0.001,0.002,0.003,0.003
"20-24",0.004,0.001,0.001,0.004,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.004,0.002,0.003,0.001,0.002,0.003,0.001,0.001,0.004,0.005,0.002,0.005,0.001,0.001,0.007,0.006,0.001,0.001,0.004,0.004,0.001,0.001,0.001,0,0.001,0.006,0.001,0.004,0,0.004,0.002,0.002,0.001,0.004,0.004,0.002,0.001,0.003,0.002,0.001,0.001,0.003,0.004,0.001,0,0.003,0.001,0.001,0.002,0.004,0.002,0.004,0.004,0.002,0.001,0,0.002,0.002,0.001,0.004,0.001,0.001,0,0.002,0,0.001,0.001,0.003,0.003,0.001,0.001,0.002,0.001,0.001,0.004,0.002,0.003,0.001,0,0.002,0.002,0.001,0.001,0.004,0,0.003,0.001,0.002,0.002,0.001,0.001,0.004,0.002,0.003,0.001,0,0.001,0.002,0.003,0.005,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.003,0.001,0.002,0,0.001,0.007,0,0.001,0.001,0.001,0.006,0.002,0,0.002,0.003,0.001,0.004,0.001,0,0.01,0.001,0.002,0.001,0.002,0.003,0.001,0.005,0.001,0.002,0.001,0.005,0.001,0.001,0,0.004,0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.004,0.004
"25-29",0.004,0.001,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.001,0.001,0.002,0.001,0.002,0.004,0.002,0.003,0.001,0.003,0.003,0.001,0.001,0.004,0.005,0.002,0.006,0.001,0.001,0.008,0.007,0.001,0.001,0.003,0.004,0.002,0.001,0.001,0,0.001,0.007,0.002,0.004,0,0.004,0.003,0.002,0.001,0.005,0.005,0.003,0.001,0.003,0.002,0.001,0.001,0.003,0.004,0.001,0.001,0.003,0.001,0.001,0.003,0.004,0.003,0.003,0.004,0.002,0.001,0.001,0.002,0.002,0.001,0.004,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.004,0.003,0.001,0.002,0.002,0.002,0.001,0.007,0.003,0.003,0.002,0,0.003,0.003,0.001,0,0.005,0,0.003,0.002,0.002,0.002,0.002,0.001,0.005,0.002,0.003,0.001,0,0.001,0.003,0.004,0.006,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.002,0.001,0.003,0.001,0.002,0.001,0.002,0.007,0,0.001,0.001,0.001,0.007,0.004,0,0.002,0.004,0.002,0.004,0.001,0,0.012,0.001,0.003,0.001,0.002,0.003,0.001,0.004,0.001,0.002,0.002,0.005,0.002,0.001,0.001,0.004,0.002,0.002,0.001,0.001,0.004,0.002,0.003,0.005,0.005
"30-34",0.004,0.001,0.001,0.005,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.003,0.005,0.003,0.004,0.001,0.004,0.003,0.001,0.001,0.004,0.006,0.003,0.007,0.001,0.001,0.009,0.008,0.001,0.001,0.003,0.005,0.002,0.001,0.001,0.001,0.001,0.008,0.002,0.005,0.001,0.004,0.004,0.003,0.002,0.006,0.006,0.004,0.002,0.004,0.002,0.001,0.001,0.004,0.005,0.002,0.001,0.004,0.001,0.002,0.003,0.004,0.005,0.004,0.005,0.003,0.001,0.001,0.003,0.002,0.001,0.004,0.001,0.001,0.001,0.003,0.001,0.001,0.003,0.004,0.003,0.001,0.002,0.002,0.003,0.001,0.011,0.004,0.003,0.003,0.001,0.003,0.004,0.002,0.001,0.005,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.003,0.005,0.002,0.001,0.001,0.003,0.004,0.007,0.001,0.001,0.002,0.002,0.003,0.002,0.002,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.006,0.004,0.003,0.002,0.001,0.004,0.001,0.003,0.001,0.002,0.008,0.001,0.001,0.001,0.002,0.008,0.006,0.001,0.002,0.005,0.003,0.007,0.001,0.001,0.012,0.002,0.004,0.001,0.002,0.004,0.001,0.004,0.001,0.002,0.002,0.006,0.003,0.001,0.001,0.005,0.002,0.002,0.002,0.001,0.004,0.002,0.003,0.006,0.006
"35-39",0.005,0.002,0.002,0.005,0.003,0.002,0.002,0.001,0.001,0.002,0.004,0.001,0.002,0.002,0.004,0.001,0.003,0.005,0.004,0.004,0.001,0.006,0.003,0.002,0.002,0.005,0.007,0.004,0.009,0.001,0.002,0.012,0.009,0.002,0.001,0.003,0.006,0.002,0.001,0.002,0.001,0.001,0.01,0.003,0.006,0.001,0.006,0.004,0.002,0.002,0.006,0.007,0.004,0.003,0.005,0.003,0.001,0.001,0.005,0.005,0.003,0.001,0.005,0.001,0.003,0.004,0.005,0.008,0.006,0.006,0.004,0.001,0.001,0.004,0.003,0.001,0.004,0.001,0.001,0.001,0.004,0.001,0.001,0.005,0.006,0.004,0.001,0.004,0.003,0.004,0.001,0.02,0.005,0.003,0.004,0.001,0.004,0.007,0.002,0,0.005,0.001,0.004,0.003,0.003,0.002,0.004,0.001,0.013,0.004,0.008,0.002,0.001,0.001,0.004,0.005,0.009,0.001,0.001,0.003,0.002,0.004,0.003,0.003,0.004,0.002,0.001,0.001,0.001,0.003,0.002,0.006,0.004,0.002,0.004,0.001,0.005,0.001,0.004,0.001,0.003,0.009,0.001,0.002,0.001,0.002,0.009,0.009,0.001,0.003,0.006,0.003,0.012,0.001,0.001,0.011,0.002,0.004,0.001,0.002,0.006,0.002,0.004,0.001,0.003,0.004,0.008,0.005,0.001,0.001,0.007,0.002,0.002,0.002,0.002,0.004,0.003,0.004,0.008,0.009
"40-44",0.006,0.003,0.002,0.007,0.002,0.003,0.004,0.002,0.001,0.003,0.005,0.001,0.003,0.002,0.006,0.002,0.005,0.006,0.006,0.005,0.002,0.009,0.004,0.003,0.003,0.007,0.009,0.005,0.011,0.001,0.002,0.015,0.011,0.002,0.002,0.004,0.008,0.003,0.002,0.002,0.002,0.002,0.013,0.003,0.007,0.001,0.007,0.005,0.003,0.003,0.006,0.009,0.007,0.003,0.006,0.005,0.002,0.002,0.006,0.007,0.005,0.001,0.007,0.001,0.004,0.005,0.007,0.009,0.008,0.007,0.004,0.002,0.001,0.005,0.004,0.002,0.004,0.001,0.001,0.001,0.004,0.001,0.002,0.007,0.007,0.005,0.002,0.006,0.004,0.005,0.002,0.024,0.007,0.004,0.006,0.001,0.006,0.01,0.003,0.001,0.007,0.001,0.005,0.004,0.003,0.003,0.007,0.001,0.016,0.005,0.011,0.003,0.001,0.002,0.005,0.006,0.011,0.001,0.002,0.004,0.003,0.006,0.003,0.003,0.006,0.003,0.002,0.001,0.002,0.006,0.003,0.007,0.005,0.004,0.004,0.002,0.005,0.002,0.005,0.002,0.006,0.011,0.001,0.002,0.002,0.003,0.01,0.011,0.001,0.004,0.007,0.005,0.016,0.001,0.001,0.01,0.003,0.005,0.002,0.003,0.008,0.003,0.005,0.002,0.003,0.006,0.01,0.007,0.001,0.002,0.009,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.009,0.012
