"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84"
"ALB",74.1950717619251,69.6950717619251,64.6950717619251,59.8167061140879,55.1066689579734,50.3730108003394,45.6156131810349,40.8754460172555,36.1996323940295,31.5988829578824,27.1246179722352,22.7897217415382,18.6363517860894,14.7461968858495,11.215441770205,8.10135532095289,5.70208726346999
"ARM",72.9217724120527,68.4217724120527,63.4217724120527,58.4847979351935,53.6318691322516,48.7608482139387,43.8752939458665,39.0573144096964,34.4001965309664,29.8849895105176,25.5308473500521,21.3720255602763,17.5506677354239,14.057543257185,11.0140849452545,8.44824298080472,6.37846128149048
"AUT",79.3343409309106,74.8343409309106,69.8343409309106,64.8343409309106,59.8972011764604,55.0463128675174,50.1816830023333,45.3037986284251,40.4544071525366,35.6840750810089,31.0346585410511,26.5573578738616,22.3011590549619,18.3687367395723,14.6383605291432,11.1532755480245,8.18641177624581
"AZE",72.2215354796403,67.9011098403252,62.9011098403252,57.963212037516,53.108552445478,48.2372831167403,43.3972685951834,38.6449653924901,33.9552908095062,29.3629500757221,24.9672311209615,20.8076121449444,16.9566630427981,13.4194052025933,10.3226274786199,7.94127740928618,6.13119421059799
"BEL",78.6219296410892,74.1219296410892,69.1219296410892,64.1219296410892,59.1828156646695,54.3269632532516,49.457845800329,44.6222609962377,39.8774286038885,35.1997691418138,30.6294076482688,26.2458710699822,22.0618699815454,18.1047572101428,14.3976753252447,10.9895746514981,8.03116870008468
"BGR",72.6983676054819,68.1983676054819,63.1983676054819,58.259344234968,53.4044661961805,48.5372080717534,43.7006325286537,38.9512727200973,34.303607728617,29.7761345408439,25.4850464685858,21.5430551506078,17.8416373113137,14.3589592315578,11.1001753433021,8.29711248985215,6.01976834246039
"BIH",74.7854412757524,70.2854412757524,65.2854412757524,60.2854412757524,55.3433614068362,50.480147617942,45.6037467572862,40.7559825355545,35.9873445865166,31.3415612430188,26.8703909094906,22.5991345316361,18.587292787896,14.8313247383411,11.6440209707147,9.07105198759282,6.88580398631275
"BLR",71.3833124654539,66.8833124654539,61.8833124654539,56.9430677897269,52.0848637096227,47.2630819576752,42.5813534827975,38.0288379759737,33.5813869693343,29.2989013340185,25.1938234635804,21.3143350358868,17.7397952344752,14.414691009955,11.3451771585556,8.75662159734566,6.54077512058879
"CHE",80.9184070462557,76.4184070462557,71.4184070462557,66.4184070462557,61.4184070462557,56.4184070462557,51.471725852279,46.5976207318869,41.7532328615417,36.991127452558,32.3228132514222,27.7929983280306,23.4143385800878,19.2084265782151,15.2371417257622,11.5759847511159,8.39306319341947
"CYP",78.0704636305307,73.5704636305307,68.5704636305307,63.5704636305307,58.5704636305307,53.5704636305307,48.6214252463087,43.7387141404248,38.9181455188165,34.1896153307642,29.488698367137,24.9359432587957,20.5887737526391,16.5012923342931,12.6680935629599,9.15369283630418,6.4859051077162
"CZE",76.4661243433214,71.9661243433214,66.9661243433214,61.9661243433214,57.0254791641806,52.1663721278213,47.2951887501702,42.4542658396063,37.6969979936069,33.036655442343,28.5188837617665,24.1840675678759,20.1059766531554,16.341652692687,12.8847090187712,9.80199886160674,7.22937976948557
"DEU",78.7594756951445,74.2594756951445,69.2594756951445,64.2594756951445,59.2594756951445,54.3165869169342,49.4512785566467,44.5719906499157,39.7198201176579,34.9451857634907,30.288138853514,25.85127559218,21.6969447446186,17.7635851426517,14.029569211886,10.6187951098428,7.70146164802709
"DNK",78.9479293189816,74.4479293189816,69.4479293189816,64.4479293189816,59.4479293189816,54.4479293189816,49.4993316062618,44.6198198855369,39.7676975950448,34.9935119487136,30.3374119883134,25.9025379316934,21.7311133578612,17.755850939602,14.0229920194773,10.706947068337,7.93141510233212
"ESP",80.6867385058309,76.1867385058309,71.1867385058309,66.1867385058309,61.1867385058309,56.1867385058309,51.2389798813674,46.3629567574037,41.5175927840736,36.753943729935,32.1156165355613,27.6560429202702,23.3575336760523,19.2495198766606,15.3066399635484,11.6645726842854,8.59092868986516
"EST",75.2890371457379,70.7890371457379,65.7890371457379,60.8528607485665,56.0044482212402,51.144024536263,46.3669565988189,41.748795577571,37.1533401892656,32.6090584737129,28.262633971341,24.1538489239829,20.3379007545824,16.7620305784143,13.4477308396775,10.4134038900556,7.70427731603606
"FIN",78.867749076553,74.367749076553,69.367749076553,64.367749076553,59.4296588078487,54.5771378918829,49.7125898417152,44.8802907385989,40.1376706731961,35.4642544797289,30.8668221256072,26.4139071091024,22.1697885425007,18.1608395075408,14.3798609493551,10.9093523238413,7.98848705397038
"FRA",80.345853486123,75.845853486123,70.845853486123,65.845853486123,60.9086188836022,56.0569485030434,51.190816932231,46.3601269108717,41.6251129241094,36.9992846176296,32.472216332127,28.1044664976207,23.992454768878,19.9613474475003,16.0720489053659,12.4539848413788,9.21670414334916
"GBR",79.0011280429309,74.5011280429309,69.5011280429309,64.5011280429309,59.5011280429309,54.5569489532759,49.6891628396819,44.8548130377974,40.1109067203423,35.4708016498527,30.9232314119364,26.4700504407009,22.2066117444907,18.1335035369893,14.3382503067956,10.9617769971375,8.13958433762473
"GEO",70.5304779865954,66.0304779865954,61.0304779865954,56.0912491911468,51.2339457738934,46.3603901619302,41.5571315951858,36.8919152194429,32.3399552682399,27.985753012726,23.8424968955491,19.9452461442484,16.3374668212524,12.8499632745519,9.59504068641989,6.97349743951397,4.99114414669114
"GRC",78.8015585643223,74.3015585643223,69.3015585643223,64.3015585643223,59.3631895519905,54.5098934467963,49.6434516595429,44.763188858078,39.9112299445051,35.1732667601372,30.5681296289461,26.104036082664,21.843215766086,17.8120834393449,14.031300028174,10.55148282755,7.68977357755592
"HRV",75.5863108615612,71.0863108615612,66.0863108615612,61.0863108615612,56.144668422219,51.2831814414313,46.4093328360854,41.5646510457371,36.8014299121303,32.1642990939561,27.7069017546678,23.435576899219,19.4305643776429,15.690222110641,12.2556795755906,9.27705533847679,6.95966527017085
"HUN",73.4528066939098,68.9528066939098,63.9528066939098,58.9528066939098,54.0092403230138,49.1425506013887,44.2626341449148,39.4097380942806,34.6333529518159,30.0040810530828,25.6844293831987,21.7440981590751,18.1455747282179,14.8354978290415,11.759612689906,8.93032911187303,6.64211551711379
"IRL",79.1186486151994,74.6186486151994,69.6186486151994,64.6186486151994,59.6799347352261,54.8242858617565,49.9529363231007,45.0686600334742,40.2161403795473,35.4442521464242,30.7595117804167,26.2577777065972,21.9420451129518,17.7734744910638,13.8970491908558,10.3717656959079,7.49072763494376
"ISL",79.8650347099729,75.3650347099729,70.3650347099729,65.4324955006316,60.5312317604748,55.5904370769645,50.7300657426992,45.8555772479678,41.0090691839468,36.2423211042294,31.5333745521204,26.9430867270143,22.4960001057304,18.2306781329509,14.3941106130016,10.9240190914495,7.92895596209912
"ISR",79.7300914832371,75.2300914832371,70.2300914832371,65.2300914832371,60.2925378481552,55.4406752191545,50.5754076257157,45.6973320482088,40.8486413872027,36.0802934755435,31.433359114892,26.9590579106336,22.6157396165602,18.4650512572161,14.5752596285421,11.1498010103395,8.4166558784087
"ITA",80.3667415095483,75.8667415095483,70.8667415095483,65.8667415095483,60.8667415095483,55.9246585194623,51.0614509587821,46.1848407426875,41.3379585971432,36.5725028605835,31.8978899907758,27.3575767903051,22.9616367253229,18.7515290416843,14.8379310629059,11.2662073651537,8.21011014370923
"KAZ",68.9205156992365,64.4205156992365,59.4205156992365,54.4767942257605,49.6600664686937,44.9445768092415,40.3080049403387,35.8009505705424,31.4890802074282,27.2819087938065,23.157579878297,19.2523463404009,15.6682946898966,12.4163559732959,9.50547828208789,6.84897928349767,4.83736185774186
"KGZ",69.7783935044513,65.4518508377162,60.4518508377162,55.5091697140809,50.696076118968,45.9876421018209,41.319622519108,36.7291158125146,32.3175801881342,27.9812685395277,23.7516183703698,19.7279606383393,15.9835562742814,12.6223780450106,9.63897874205991,6.9507840991068,4.8864275979831
"LTU",72.4828223314815,67.9828223314815,62.9828223314815,58.0435795191134,53.1877233869415,48.3701524777928,43.6979721495086,39.1595172345187,34.7299899737929,30.4735887547766,26.3850110471757,22.4612178682174,18.7876567032325,15.4646431058031,12.3136314861345,9.32689087226839,6.82191831435804
"LUX",79.9231780431232,75.4231780431232,70.4231780431232,65.4231780431232,60.4231780431232,55.4231780431232,50.4748274042496,45.5966672716319,40.7479265384925,35.9804561857168,31.3384683023756,26.873822032836,22.5644907187165,18.4786021202627,14.713116192711,11.3501941501878,8.40570623981147
"LVA",72.5161651732274,68.0161651732274,63.0161651732274,58.0765981067942,53.2206069115064,48.4034767450528,43.7319604345458,39.1953044793343,34.7343736469745,30.4013618463869,26.2679017569441,22.3866388589773,18.7587961688743,15.3884873818205,12.2549328353042,9.36328904875838,6.88298502097111
"MDA",69.5671388360063,65.2400672394699,60.2400672394698,55.2979927078439,50.4349781973443,45.5589183965493,40.7539313731401,36.0857030926977,31.5610597319852,27.2680718617753,23.1634142492246,19.2581351703666,15.6176157655131,12.3802159830787,9.55862929783322,7.20301205037442,5.46194487331228
"MKD",73.5373218035712,69.0373218035712,64.0373218035712,59.0373218035712,54.0943536219086,49.2294733480857,44.3518944041381,39.5005981857928,34.7253360622695,30.0680327987523,25.6031640025945,21.3418844127114,17.3439613184879,13.6140140227056,10.181061336618,7.36426091275347,5.36324593591342
"MLT",79.3962054560132,74.8962054560132,69.8962054560132,64.8962054560132,59.8962054560132,54.8962054560132,49.9494802373592,45.0743248673153,40.2254781582524,35.4543917586213,30.7713819003565,26.2159539979208,21.8439783883204,17.7036857360297,13.7853040979213,10.2416763036757,7.44505534898858
