"","DisplayString","age","Female","Male","ISO_Code"
"1","Albania",1,0.000401,0.001253782,"ALB"
"2","Albania",2,0.000222,0.000712,"ALB"
"3","Albania",3,0.000169,0.000542,"ALB"
"4","Albania",4,0.000143,0.000445,"ALB"
"5","Albania",5,0.000301,0.000449,"ALB"
"6","Albania",6,0.000263,0.000407,"ALB"
"7","Albania",7,0.000228,0.000379,"ALB"
"8","Albania",8,0.000208,0.000349,"ALB"
"9","Albania",9,0.000189,0.000324,"ALB"
"10","Albania",10,0.000154,0.000289,"ALB"
"11","Albania",11,0.000153,0.000287,"ALB"
"12","Albania",12,0.000164,0.000304,"ALB"
"13","Albania",13,0.000179,0.000344,"ALB"
"14","Albania",14,0.000215,0.000428,"ALB"
"15","Albania",15,0.00021,0.000454,"ALB"
"16","Albania",16,0.000223,0.000517,"ALB"
"17","Albania",17,0.000236,0.000593,"ALB"
"18","Albania",18,0.00025,0.000683,"ALB"
"19","Albania",19,0.000264,0.000785,"ALB"
"20","Albania",20,0.000279,0.000897,"ALB"
"21","Albania",21,0.000294,0.000994,"ALB"
"22","Albania",22,0.000309,0.001072473,"ALB"
"23","Albania",23,0.000325,0.001131889,"ALB"
"24","Albania",24,0.000342,0.001172219,"ALB"
"25","Albania",25,0.000359,0.00119706,"ALB"
"26","Albania",26,0.000374,0.001218621,"ALB"
"27","Albania",27,0.000386,0.001240576,"ALB"
"28","Albania",28,0.000395,0.001262931,"ALB"
"29","Albania",29,0.000401,0.001285687,"ALB"
"30","Albania",30,0.000407,0.001307778,"ALB"
"31","Albania",31,0.000419,0.001321292,"ALB"
"32","Albania",32,0.000441,0.001325112,"ALB"
"33","Albania",33,0.000473,0.001319186,"ALB"
"34","Albania",34,0.000514,0.001303464,"ALB"
"35","Albania",35,0.000563,0.001285466,"ALB"
"36","Albania",36,0.000612,0.001290396,"ALB"
"37","Albania",37,0.00066,0.001325968,"ALB"
"38","Albania",38,0.000707,0.001392346,"ALB"
"39","Albania",39,0.000753,0.001489708,"ALB"
"40","Albania",40,0.000801,0.001614195,"ALB"
"41","Albania",41,0.000863,0.00174014,"ALB"
"42","Albania",42,0.000942,0.001863529,"ALB"
"43","Albania",43,0.001037279,0.00198439,"ALB"
"44","Albania",44,0.001150265,0.002102748,"ALB"
"45","Albania",45,0.001277254,0.002228699,"ALB"
"46","Albania",46,0.001402214,0.002391989,"ALB"
"47","Albania",47,0.001521852,0.002603162,"ALB"
"48","Albania",48,0.001636182,0.002862805,"ALB"
"49","Albania",49,0.001745207,0.00317162,"ALB"
"50","Albania",50,0.001854746,0.003524609,"ALB"
"51","Albania",51,0.00198517,0.003890175,"ALB"
"52","Albania",52,0.002142528,0.004263006,"ALB"
"53","Albania",53,0.002327111,0.004643608,"ALB"
"54","Albania",54,0.002539254,0.005032516,"ALB"
"55","Albania",55,0.002779398,0.005451679,"ALB"
"56","Albania",56,0.003047919,0.005992473,"ALB"
"57","Albania",57,0.003345391,0.006679986,"ALB"
"58","Albania",58,0.00367242,0.007519045,"ALB"
"59","Albania",59,0.004029705,0.008515646,"ALB"
"60","Albania",60,0.004423386,0.009657915,"ALB"
"61","Albania",61,0.004875632,0.010877494,"ALB"
"62","Albania",62,0.005393452,0.01216155,"ALB"
"63","Albania",63,0.005978887,0.013517111,"ALB"
"64","Albania",64,0.006634368,0.014952211,"ALB"
"65","Albania",65,0.007371209,0.016501994,"ALB"
"66","Albania",66,0.008226275,0.018289594,"ALB"
"67","Albania",67,0.009213655,0.020365018,"ALB"
"68","Albania",68,0.010340398,0.022759312,"ALB"
"69","Albania",69,0.011615109,0.025511455,"ALB"
"70","Albania",70,0.013057576,0.028637844,"ALB"
"71","Albania",71,0.014715444,0.032062895,"ALB"
"72","Albania",72,0.016616651,0.03580776,"ALB"
"73","Albania",73,0.018784718,0.039937322,"ALB"
"74","Albania",74,0.021249087,0.044533195,"ALB"
"75","Albania",75,0.024018004,0.049661021,"ALB"
"76","Albania",76,0.027010449,0.055281645,"ALB"
"77","Albania",77,0.030236207,0.06147723,"ALB"
"78","Albania",78,0.033740219,0.068398657,"ALB"
"79","Albania",79,0.037577521,0.076244938,"ALB"
"80","Albania",80,0.041882017,0.085178459,"ALB"
"81","Albania",81,0.047015126,0.095057005,"ALB"
"82","Albania",82,0.053228541,0.106022346,"ALB"
"83","Albania",83,0.060785729,0.118374452,"ALB"
"84","Albania",84,0.070060081,0.132510227,"ALB"
"85","Albania",85,0.081170267,0.148765351,"ALB"
"86","Albania",86,0.092909405,0.166778375,"ALB"
"87","Albania",87,0.104983121,0.1863295,"ALB"
"88","Albania",88,0.117373565,0.206783179,"ALB"
"89","Albania",89,0.129897575,0.226090095,"ALB"
