"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84"
"ALB",137729.674430567,157066.113982831,173221.662006471,215036.093551019,234250.887238882,212887.822875841,178995.215317275,155062.501419753,161025.323759722,179401.713124419,188533.368034433,195969.190791734,163071.258039815,125765.895960187,97016.7134489314,77586.1139355756,48138.7471569213
"AND",2446.77110556468,4120.64344844569,4060.96328218129,4234.04941931871,3928.16624548064,4546.69067853264,5396.96989040813,6865.41665799994,7628.78794963798,7483.83485115834,7024.77992121854,5898.57860225334,4518.05954347773,3543.93090560277,2805.78978324729,1842.58837677797,1425.05785894504
"ARM",168734.235016583,208404.300942763,181910.681220041,170229.116940903,212309.848458243,277213.998844654,264126.573511704,224350.114622587,185291.508975042,168500.171756839,188949.219213661,215951.684042912,176623.633001707,123773.55834123,61686.4278565343,77583.472226983,50064.6699131997
"AUT",339952.085172534,415421.461540221,423734.104127687,453767.814726718,552576.568519132,600360.626097729,599730.039687632,574599.067632393,581696.112970367,682328.547040852,712915.560747713,626691.686974659,508567.154144798,452285.554223448,372411.687655575,372766.550144752,210836.370651179
"AZE",686484.288573647,845283.258495338,717382.121285484,687454.085612835,874375.016059964,1015266.19310298,928337.859473939,754097.67756083,633931.485538455,654130.457999564,676378.834520375,616044.765975601,396095.222554068,227718.726535169,98455.5174970344,130651.59989525,79277.313007532
"BLR",447214.901694483,540982.866211293,466219.622218415,445420.621380515,514971.058518368,710862.600620194,786971.1469434,709158.444550848,661245.940858612,634439.808678063,680040.588495873,757676.626664259,638017.093052039,487676.542165704,256711.581162174,291396.798341612,200998.20196967
"BEL",505862.671132454,663940.0597271,627033.368498933,628605.103755099,675810.222391113,734257.109280718,723890.452727239,744356.825962595,735465.325482379,785446.746528321,817144.465298005,773534.844124701,686406.112629553,609545.164695685,478879.187143062,379646.613787665,316533.84063796
"BIH",127790.387177598,175131.639898815,176949.739232089,204262.503766509,211426.494734473,223279.700610759,230476.481387141,235250.190766305,248501.331813214,239413.755856986,255319.902982566,261816.213689656,244145.869411381,192073.277158036,122931.180594334,113740.539489792,71957.0151812216
"BGR",259255.408783879,347531.075455997,326203.114009856,312896.048172851,328502.340495579,446837.989448806,480359.514613142,501205.627312034,548884.274230023,518448.80257142,463507.181116452,483233.623733326,488676.706947785,480198.811592919,389523.077563574,276831.269415499,202078.016859351
"HRV",159781.232250294,216330.492162442,209710.934292321,228820.526144821,248353.607720656,261599.212954634,287944.05744063,299671.317129289,287268.227451933,286897.258430172,309104.529493346,306833.011870052,307407.648051316,257582.425775564,187749.792142803,174508.187659476,125885.613219863
