"","ISO_Code","DisplayString","age2044","age2064","age2074","age4564","age4574","VSL","VSLY"
"1","ALB","Albania",110.7999,279.5391,505.9034,515.774,938.0479,462438.1224,16015.8470659995
"3","ARM","Armenia",125.7193,413.7442,683.3735,816.979,1293.3079,462072.7188,16971.8571012082
"4","AUT","Austria",65.2775,228.9264,372.4331,458.0349,708.3846,3754968.775,114333.921229361
"5","AZE","Azerbaijan",136.314,439.7861,758.378,864.6471,1438.7605,425482.9053,15958.8673115677
"6","BEL","Belgium",85.0656,264.174,412.5291,514.9257,770.6923,3565678.99,110025.7763331
"7","BGR","Bulgaria",124.8597,449.7285,708.8012,904.5447,1347.4872,707147.6628,26106.5864482351
"8","BIH","Bosnia and Herzegovina",81.1346,356.1022,546.4749,741.0568,1055.4407,484882.206,16941.8619779406
"9","BLR","Belarus",306.7863,764.7695,1055.0708,1405.9459,1873.5069,777190.8223,29037.935709692
"10","CHE","Switzerland",54.8784,182.5298,298.9375,361.2417,565.8771,6457011.048,189046.629738976
"11","CYP","Cyprus",55.0084,159.0577,283.422,304.7268,533.2493,2144644.458,68437.0983240756
"12","CZE","Czech Republic",84.9476,312.9576,515.0644,632.1716,985.5046,1729432.216,57111.4337672646
"13","DEU","Germany",62.3711,236.4068,381.2395,480.0568,730.0018,3529574.865,109955.342791633
"14","DNK","Denmark",59.1585,241.2141,412.2498,496.0919,798.4433,4544942.434,141371.850639446
"15","ESP","Spain",55.5471,199.2764,316.5292,400.4974,601.9784,2507151.999,73919.7370450224
"16","EST","Estonia",177.0341,434.5482,635.1419,795.0679,1136.1974,1499894.739,50087.991862625
"17","FIN","Finland",90.2716,254.3634,395.2646,484.0918,728.8506,3619664.708,110776.862710064
"18","FRA","France",84.8129,258.0613,374.1686,500.6092,690.6513,3211845.8,93715.0230811105
"19","GBR","United Kingdom",83.121,238.2573,389.3563,455.4481,724.3011,4036471.525,123317.30298113
"20","GEO","Georgia",139.3041,435.9385,695.6409,851.2267,1304.1343,425482.9053,16729.0606482599
"21","GRC","Greece",79.7642,227.5921,354.9922,434.5511,656.0228,1846202.428,57016.4806170716
"22","HRV","Croatia",90.3097,333.9857,541.0839,675.1322,1034.1181,1182226.665,40144.2342662798
"23","HUN","Hungary",102.212,478.1538,718.8485,1004.4724,1393.2948,1249118.198,45731.7741294175
"24","IRL","Ireland",75.7887,217.8281,371.1986,416.6832,694.3032,5079099.714,155795.610110556
"25","ISL","Iceland",68.0683,184.0939,321.1202,346.5297,597.8957,4244458.891,127067.291467544
"26","ISR","Israel",55.7668,190.5082,320.228,379.1461,609.4824,3107873.186,93499.2018009062
"27","ITA","Italy",59.4807,187.8046,311.7656,367.4582,587.7022,2768073.162,82056.0784146342
"28","KAZ","Kazakhstan",309.3102,710.5995,1029.5942,1272.4046,1817.4048,702681.7064,28383.0513686212
"29","KGZ","Kyrgyzstan",236.0426,598.0624,895.418,1104.8902,1616.6098,143204.7376,5640.31920050931
"30","LTU","Lithuania",232.5248,579.1798,799.5004,1064.4967,1419.6299,1344871.9,48100.8040826441
"31","LUX","Luxembourg",54.4901,197.278,334.3475,397.1811,640.4415,6951495.784,209752.554319377
"32","LVA","Latvia",194.4222,544.2894,784.0748,1034.1035,1429.0074,1296037.723,46545.7686333412
"34","MDA","Moldova",203.0254,652.5369,991.69,1281.8529,1854.2919,218177.256,8817.31649683946
"35","MKD","Macedonia",86.0926,361.8966,639.3303,748.0221,1244.4339,506039.2322,18511.8335690437
"36","MLT","Malta",72.2334,204.2503,343.8289,389.0739,640.8864,2002733.25,61410.3652904773
"38","NLD","Netherlands",55.7937,206.5104,348.6748,417.5139,669.0135,3903657.992,120002.600406104
"39","NOR","Norway",63.1573,194.7049,330.7772,378.8716,623.4866,5289512.597,158673.621933785
"40","POL","Poland",119.9037,411.8444,617.2806,820.5613,1161.2866,1207785.217,40965.81276259
"41","PRT","Portugal",84.4614,249.6688,383.2542,480.959,710.0587,1828524.37,55743.6143747057
"42","ROU","Romania",116.5848,448.243,697.6541,912.5644,1333.1986,762934.8116,27829.5430738405
"43","RUS","Russian Federation",383.1768,778.3971,1052.1469,1331.7055,1783.8329,777190.8223,29473.7220218835
"45","SRB","Serbia",107.3208,409.721,675.3929,833.0813,1296.7218,586342.8311,21348.2541462613
"46","SVK","Slovakia",110.3227,410.85,650.7705,831.5881,1241.8853,1713464.206,58837.7532589985
"47","SVN","Slovenia",79.7061,280.6088,439.7577,561.8726,833.5641,1950075.342,61068.3895681595
"48","SWE","Sweden",58.9999,182.389,314.3968,355.1338,593.7372,3990945.333,119809.562381348
"49","TJK","Tajikistan",782.0873660216,165.5960346397,165.5960346397,1029.7263431298,333.7163103511,143204.7376,5646.66782496721
"50","TKM","Turkmenistan",218.3414551975,1015.1686481169,577.8501384505,1015.1686481169,1323.7312584581,425482.9053,17623.3709466773
"51","TUR","Turkey",83.2932,282.5529,499.519,561.5163,954.7659,1151458.887,39214.8506966585
"52","UKR","Ukraine",289.7602,664.6704,957.2383,1189.5449,1687.2926,186899.384,7110.65835809909
"53","UZB","Uzbekistan",200.0691,605.5137,1014.6993,1173.1361,1905.7012,143204.7376,5497.49037574827
