"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79"
"ALB",0,0,0,0.001,0.001,0.001,0.001,0.00148961471818064,0.00193609477112631,0.00294765969732343,0.00445900579978923,0.00648280765839168,0.010477994405302,0.0169730410599882,0.0298946675562598,0.0487512223737147
"ARM",0,0,0,0.000529759311724983,0.000504284691024394,0.000490166927540642,0.000486510430888541,0.00148415251169341,0.00242251892581799,0.00386292786719355,0.00574801984221397,0.00912161874485959,0.0162514311158824,0.0219161944797357,0.0433237228438451,0.0519010997170785
"AUT",0,0,0,0,0.000516115570386437,0.000511384888123844,0.000506737312386906,0.000505118887812264,0.001,0.00150066562936668,0.00300497569416616,0.00449098070653395,0.00841691077455401,0.0132494378462558,0.0175709519366913,0.0310631217253576
"AZE",0.001,0,0,0.000526615886571176,0.000505836848800688,0.00049841889014999,0.001,0.00150443583774605,0.00198078969078511,0.00344451930670527,0.00589164695568854,0.00931947230530905,0.0160582403352471,0.0227328608060466,0.0440431972977612,0.0691825173709252
"BLR",0,0,0,0.000515636024371096,0.000514890287084134,0.00102277184639268,0.00200830012580385,0.00248649902028449,0.00394228815257846,0.0053732268828344,0.00819083380897415,0.0114108721035262,0.0187959760458827,0.0220616237672636,0.0398616573366463,0.0532966013600105
"BEL",0,0,0,0,0.000505840203076818,0.000499506692583282,0.000499463515116654,0.001,0.00150543123611126,0.002,0.00350508062019233,0.00549615371167028,0.00846026243491108,0.0128718993158108,0.0196196293204532,0.031489128582608
"BIH",0,0,0,0,0.000513990228812823,0.000508965251666398,0.000509333824354855,0.001,0.0014990120906538,0.00301419061555633,0.00448526599032978,0.00791137115241666,0.0117531732642628,0.018918866748004,0.0387996832786177,0.0525035160665834
"BGR",0,0,0,0.000514487407349032,0.000516066930530711,0.000514986850502189,0.001,0.00151832910020301,0.00251384864590117,0.00353780999143684,0.00751473646364146,0.0108947691132958,0.0160080231194418,0.0217833065606138,0.0335216296069962,0.0582020601336935
"HRV",0,0,0,0,0.000510610255081045,0.000511224434213142,0.00051102963520912,0.001,0.00150623532350436,0.00300266742074988,0.00448338424976776,0.00741040424476084,0.0118024826718014,0.0174194687712806,0.028509455105805,0.047593125347175
"CYP",0,0,0,0,0,0,0.000513501561618182,0.000484482574921719,0.00146268398668906,0.00146638977856692,0.00248023253601369,0.00447000472148041,0.00752351160626737,0.0130535987921275,0.0194727291371816,0.0373948701692622
"CZE",0,0,0,0,0.000511452622103633,0.000511072610632362,0.000515457015808702,0.001,0.00151375657300904,0.00251282826914807,0.00401697985708596,0.00649630973562838,0.0108591863603981,0.0170194471435814,0.0258705172983683,0.0427784541746882
"DNK",0,0,0,0,0,0,0.000508937773846275,0.000502695789277082,0.001,0.00150459115711432,0.00300844363292702,0.00550027947345262,0.00897852705687265,0.0119554329520563,0.0213396101967564,0.0339915164791158
"EST",0,0,0,0.000515928804760815,0.00051181155769257,0.000522930149639434,0.00151658286606961,0.00202787571534243,0.00201497570277999,0.00348709906365332,0.00542352082242954,0.0087064001719584,0.0131522871195755,0.0177357799764762,0.0277627082447123,0.0371278732646535
"FIN",0,0,0,0,0.000512244137572889,0.000513683139645433,0.000515662910981999,0.001,0.00151337252251518,0.0020145600313772,0.00300526726189874,0.00498642735627704,0.00792822994087084,0.012330278113106,0.0181339822432649,0.031864925505793
"FRA",0,0,0,0,0.00050691769263095,0.000496330415853609,0.000491692892006359,0.001,0.00149762009149007,0.00249583740828158,0.00298356621265414,0.00594577681515312,0.00787343507743647,0.00978964230937187,0.0156475862861942,0.0237315228101483
"GEO",0,0,0,0.000532226309966318,0.000518071597515211,0.000504463711952691,0.00149831622782031,0.00198610130924814,0.00347125405698919,0.00541628660239813,0.00822548561138394,0.0124767519024462,0.018883114417237,0.0214795396327267,0.0438400084720015,0.0693897985364018
"DEU",0,0,0,0,0,0.000516219148660366,0.000510729242825856,0.000503603056151001,0.001,0.00150237378849788,0.00300520604869236,0.00548747573762361,0.00940900442497493,0.0123450567033423,0.0205898246839985,0.0315477605690326
"GRC",0,0,0,0,0.000510499324536449,0.000511016070218235,0.00050295493854879,0.000500129389910902,0.001,0.00199181129219236,0.00297717179301834,0.00493412119556511,0.00786717680008065,0.012284374828946,0.0190802220773545,0.031543996309414
"HUN",0,0,0,0,0.000512944488778076,0.000510084284932165,0.000506369370369884,0.001,0.00150402930609843,0.00350060857091636,0.00693997532983783,0.0117065604205439,0.0168726754241137,0.0245878541525294,0.0326316636785358,0.0513247860368708
"ISL",0,0,0,0.000507737523235704,0,0.000523101197853297,0.000515759105517956,0.000512020570950772,0.001,0.00150391114102674,0.002,0.00400581095613684,0.005,0.0105130230733578,0.0194593190851249,0.0293705683957015
"IRL",0,0,0,0,0.00050499290243912,0.000491463148396007,0.000478233559914309,0.000487918531075782,0.001,0.00149901411109306,0.00249470023674624,0.00499073374672063,0.00649051197581108,0.0109849822453285,0.0184205887966857,0.0316202197461891
"ISR",0,0,0,0,0.000509410407950014,0.000504396765178417,0.000501967428766592,0.0005000605473522,0.001,0.00149541104273381,0.00298738500855299,0.00444483523688777,0.00642353085399339,0.01082930198336,0.0167224833866842,0.0352078685964328
"ITA",0,0,0,0,0,0.000508714149738882,0.000503140764829224,0.000500776416400011,0.001,0.00149474122750544,0.00249202237120459,0.00397069933926707,0.00592475624409136,0.00986031965813954,0.0171136775301641,0.0276492209070216
