"","vsly_w2074","heat1_w2074","heat2_w2074","vsl11_w2074","vsly_w2044","heat1_w2044","heat2_w2044","vsl11_w2044","vsly_w4574","heat1_w4574","heat2_w4574","vsl11_w4574","vsly_c2064","heat1_c2064","heat2_c2064","vsl11_c2064","vsly_c2044","heat1_c2044","heat2_c2044","vsl11_c2044","vsly_c4564","heat1_c4564","heat2_c4564","vsl11_c4564"
"ALB",12.4556571296738,15.8751119636562,16.5079815773097,17.5017934076044,6.05837430710582,15.8751119636562,3.47687091658588,3.89282704063565,18.8021771226981,15.8751119636562,29.4356895798143,31.0027717960654,16.4454620102926,12.9269536541386,14.0207914457974,19.7141395072636,8.92813055784016,12.9269536541386,5.12380977181078,5.73679774409465,24.7516061537658,12.9269536541386,23.8513560142738,35.1581592583939
"ARM",13.9200393923621,21.427131324702,20.2598925763246,19.5942466850524,4.59875260056597,21.427131324702,3.94192041562866,3.10852905188551,25.511227185878,21.427131324702,40.5515844798995,40.0945331009895,18.6825794442469,19.1179907381731,19.5101520575049,23.6881432974854,6.77710909557091,19.1179907381731,5.80914587566329,4.58099018172603,34.5323922383963,19.1179907381731,37.7503707732506,49.1255927257321
"AUT",69.9780338337141,94.8964948723307,104.401694457339,99.9226690237658,22.9137741286409,94.8964948723307,16.6328018213971,15.4866913538803,110.782800995872,94.8964948723307,180.49742507188,173.128758538809,91.0555958223827,85.9611483773161,99.1750737781957,114.857994811196,33.7676671369445,85.9611483773161,24.5114974210063,22.8224925215078,146.92560846286,85.9611483773161,171.990674736025,204.615554462758
"AZE",10.7407314375333,21.8959307869874,18.5337325057817,13.4892622920416,4.49712720787523,21.8959307869874,3.93566520824364,2.92895869120823,20.5805168481627,21.8959307869874,41.5399712637383,30.1320726754582,15.00424402858,18.7121467538556,17.5545846382877,17.4450148443163,6.62734535897403,18.7121467538556,5.79992767530642,4.3163601765174,28.711738308315,18.7121467538556,36.789256016722,38.9280201732964
"BEL",76.4851052240301,99.8142162429949,109.266551562106,107.994148245377,27.9747009710461,99.8142162429949,20.5821993969398,19.5620952974898,118.71776285529,99.8142162429949,186.474233912253,184.982181499045,99.6954669331373,94.1959681504261,107.582026739186,123.628718508006,41.2258751152258,94.1959681504261,30.3316622691744,28.8283509647218,157.236803509521,94.1959681504261,183.605974990104,216.924048384106
"BGR",27.964356378461,34.0118397408103,38.2864851259086,42.0442336920689,9.08036352371135,34.0118397408103,5.99139519866169,6.28650983015681,43.3853434174114,34.0118397408103,64.6592002090193,71.2445940426726,36.6142057715613,31.802445766955,37.1431123096833,47.5711661900133,13.3815883507325,31.802445766955,8.82942450329092,9.26433027602057,58.6224628443181,31.802445766955,63.9646670503128,83.8592295264856
"BIH",14.1364407008008,17.9805112345606,19.7827667351661,21.5716190117685,4.01218000038781,17.9805112345606,2.66954911709866,2.71329521429068,22.9774436619376,17.9805112345606,34.7268710123054,38.0396359336143,17.9081739995471,17.2667620297453,20.2327917728106,23.5822965570705,5.91268631636099,17.2667620297453,3.93407238309276,3.99854031579679,29.4628218952916,17.2667620297453,35.9325255955301,42.4463405893264
"BLR",33.9600852287059,55.6422696789202,57.9232001066937,44.3881267516578,15.7292572390057,55.6422696789202,16.1792801377861,10.8225700876959,51.8143603971159,55.6422696789202,98.8049106989955,77.2603959211004,46.8761343953068,59.437183657496,65.3529609196402,55.8811202358851,23.1799580364294,59.437183657496,23.8431496767375,15.9490506555519,71.9458234483356,59.437183657496,109.268825013031,98.127791279411
"CHE",94.2957056353266,130.980757368102,141.989883109629,137.786549126122,24.3301911295267,130.980757368102,24.0452080958382,18.2681330818468,157.146861472846,130.980757368102,247.941496584621,245.151879679498,118.379334700732,117.859693518923,133.24088790297,149.499241790473,35.855018506671,117.859693518923,35.4350435096564,26.9214592785111,202.766186392588,117.859693518923,233.25416478983,274.843547936907
"CYP",31.3054394566943,41.2462464640366,38.388804652424,47.549254989347,9.37382788242316,41.2462464640366,8.00534194237677,6.94163115004781,59.6116573302181,41.2462464640366,77.6034748698936,99.9598242641452,39.7788191766804,34.1122214807227,33.614233004469,52.0687989485854,13.8140621425184,34.1122214807227,11.7973460203447,10.2297722211231,77.5519003353082,34.1122214807227,65.3530642824075,112.935494142193
"CZE",45.9303122996727,60.4450370243553,65.1751703752666,70.0745207996582,14.6634104205226,60.4450370243553,9.96896859330625,10.2864419540997,74.5193569677656,60.4450370243553,115.653231003099,124.742043131794,57.8768952315128,54.1238955682042,60.5130696657063,75.7499087162267,21.6092364091913,54.1238955682042,14.6911116111882,15.1589670902522,96.5148833446186,54.1238955682042,109.329793108027,140.300865638359
"DEU",70.929566354709,91.3094777791364,104.7143671627,105.534470154085,17.5477629775682,91.3094777791364,14.9383066799487,12.2947965343266,112.627279321522,91.3094777791364,174.840443175037,178.366051362539,90.3479795666664,83.4415499195083,100.483151053405,117.515231727387,25.8598612301006,83.4415499195083,22.0143466862402,18.1186475242708,147.018580733524,83.4415499195083,169.439641505233,204.86254974533
"DNK",89.7455523010567,127.140644925472,141.975258523106,141.531718075592,16.5382075218555,127.140644925472,18.2448841523357,12.3190383200109,151.438863599803,127.140644925472,246.245349539096,250.421858811457,107.491591133569,109.630419876912,126.919455873538,143.737670506732,24.3720952953661,109.630419876912,26.8871976981789,18.1543722610687,189.380649312315,109.630419876912,225.470912747369,267.46192932967
"ESP",39.7291901345127,53.8505339782698,58.6413871346018,56.668185981232,10.6502867661356,53.8505339782698,9.45012654739073,8.07371344967502,65.604611320013,53.8505339782698,102.413484390649,99.9092404361489,51.5337767046356,49.9616224613524,56.9919057229887,64.9059952218643,15.6951594448314,49.9616224613524,13.9265022803653,11.8981040311001,87.6665537592865,49.9616224613524,100.41078570043,118.348969894921
"EST",48.9609238096932,64.6438353294315,68.5037630527645,67.1551635609902,19.7270181734477,64.6438353294315,18.0182778180657,13.6994141391165,76.255745844352,64.6438353294315,115.640548399229,117.0651956092,65.1384488143592,65.177655902192,71.7587049552216,79.5771301332042,29.0713952029755,65.177655902192,26.55325152136,20.1886103102769,103.030704137491,65.177655902192,119.251816035778,141.971052870574
"FIN",78.2949361730934,97.0849326281893,108.626009927858,115.808082898403,28.4062641834515,97.0849326281893,22.1725198872827,19.8241972695641,118.916554695873,97.0849326281893,179.020361036671,193.962514172066,100.203407340305,92.0710221986888,105.650206598598,128.167190883137,41.8618630071917,92.0710221986888,32.6752924654693,29.2146065025155,155.826643963752,92.0710221986888,175.22500038922,222.509277271499
"FRA",65.7525350583606,81.5488038629847,89.8660296395539,88.646520471782,24.79790065517,81.5488038629847,18.4846899155913,17.7242133564438,100.555361811223,81.5488038629847,150.525157379362,148.915567025793,87.4858267326025,82.8853102547541,95.2755824766353,105.411257655178,36.5442746497242,82.8853102547541,27.240595665082,26.1198933673909,136.538558661998,82.8853102547541,160.787955646136,181.762642285097
"GBR",77.6000931264424,106.646024080564,113.290286029908,111.773636394034,26.2418981160592,106.646024080564,22.7671265820035,19.0221615352575,125.880481959132,106.646024080564,198.388551956598,198.966678713411,98.3217274813116,96.1718807073383,105.889133126954,121.325810349932,38.6722709078767,96.1718807073383,33.5515549629525,28.0326591045901,162.600164385023,96.1718807073383,183.840328676535,221.858795566478
"GEO",17.3593790709416,20.0845818299022,20.6841063906267,24.1595718908112,6.71093899093698,20.0845818299022,4.02199553777083,4.55975011657995,28.2039014157001,20.0845818299022,37.6530363087223,44.1203082603625,23.7659027799034,18.5484379512124,20.3147033343333,29.4828126609732,9.88980482874925,18.5484379512124,5.92715131882018,6.71963175074941,39.1040954986677,18.5484379512124,36.2182409384932,54.6445012655186
"GRC",36.2064456408081,44.4727206059292,49.3000319064969,53.3738493504855,11.3256606385087,44.4727206059292,9.99270119443598,7.82373964290276,57.0221496149805,44.4727206059292,82.1852387052993,91.4818752659256,45.9428612327852,42.0181087613619,48.1619450572477,58.2257339684763,16.6904472567497,42.0181087613619,14.7260859707478,11.5297215790146,73.9959224473968,42.0181087613619,80.2269295910071,103.007203802487
"HRV",33.6053057249173,43.407115989506,48.4732855139528,50.4723413556491,9.67538387471787,43.407115989506,7.24487204826735,6.60428473115954,53.6219368414455,43.407115989506,82.9595637821557,87.1665985600059,43.5513999041553,39.4846800268691,46.2519769372841,57.0927500290187,14.2584604469527,39.4846800268691,10.6766535448151,9.73263013012987,71.1881638105598,39.4846800268691,79.8159289240114,101.775205135202
"HUN",47.0802153293409,60.9307432719466,66.0451419014433,70.4376751663609,10.850243801677,60.9307432719466,8.66365184223408,7.34971225179391,79.9456813940522,60.9307432719466,118.097885383274,127.666958459539,62.0020626429776,59.7270613022853,68.1347811077222,82.6746414629821,15.9898329708924,59.7270613022853,12.7674869253976,10.8311548973805,109.650104220553,59.7270613022853,125.470475422874,157.072284423382
"IRL",80.4193237088748,127.934783424453,128.050141487664,114.573028892837,30.1641965408256,127.934783424453,26.1208175906936,20.6757799264807,135.266788601846,127.934783424453,239.293816094416,217.050653693338,102.788149521579,110.637064041116,116.214446732689,125.832013282237,44.4525001654272,110.637064041116,38.4938364494432,30.4695704179716,174.410963604347,110.637064041116,211.637552194861,242.915247824576
"ISL",60.270015803571,92.4880295408009,92.8368711938874,88.9173473097198,20.2927974591687,92.4880295408009,19.6048175766959,14.358011981985,103.596379125546,92.4880295408009,172.204038126277,169.722990754563,74.2761999023208,78.1378990633866,82.2643115907127,93.1999973800037,29.9051752029856,78.1378990633866,28.8913101130256,21.1591755523989,128.16255209207,78.1378990633866,147.083106616056,180.689910523692
