"","vsly_w2074","heat1_w2074","heat2_w2074","vsl55_w2074","vsly_w2044","heat1_w2044","heat2_w2044","vsl55_w2044","vsly_w4574","heat1_w4574","heat2_w4574","vsl55_w4574","vsly_c2064","heat1_c2064","heat2_c2064","vsl55_c2064","vsly_c2044","heat1_c2044","heat2_c2044","vsl55_c2044","vsly_c4564","heat1_c4564","heat2_c4564","vsl55_c4564"
"ALB",10.331740630999,14.3608875858408,14.3608875858409,14.3758580657304,4.67140382015508,14.3608875858408,2.93845247007546,2.93866314952471,15.947162323869,14.3608875858408,25.6926849819937,25.7106290554841,11.5750394033425,11.834520405485,11.834520405485,11.838652981708,6.88417405075487,11.834520405485,4.33035100853226,4.33066148351011,17.6547974998167,11.834520405485,21.5605584004299,21.563326097739
"AND",41.4821765013513,55.3690258175552,55.3690258175553,57.1147625444778,16.4985629835191,55.3690258175552,11.7298038298723,11.7272513640236,64.1420186802667,55.3690258175552,94.9492843876676,97.1563425226175,48.7304650008686,51.6069157434866,51.6069157434867,52.1718774652725,24.3136717651861,51.6069157434866,17.2860266966539,17.2822651680348,76.5178469955412,51.6069157434866,90.6655933157491,91.2870662265705
"ARM",13.3285866860224,17.521518939807,17.521518939807,17.5438911834475,4.62196449540014,17.521518939807,2.94288746616932,2.94329129836852,24.1554279916152,17.521518939807,35.6503094123971,35.6778842857639,16.169138661659,17.3082529062164,17.3082529062164,17.3156509169073,6.81131609848443,17.3082529062164,4.33688679224953,4.33748191338519,30.6831678988702,17.3082529062164,37.4269061242807,37.4294672579041
"AUT",70.4339479731779,101.355455315042,101.355455315042,101.382013746107,21.7732960068902,101.355455315042,14.8893628411551,14.8897319771665,112.622789057384,101.355455315042,176.32165669435,176.351659534692,75.3488135992014,82.4661756851986,82.4661756851985,82.4756101466741,32.0869625364698,82.4661756851986,21.9422189238076,21.942762913719,125.080863425544,82.4661756851986,152.042034309008,152.050856760372
"AZE",13.9766190688718,16.2833476632999,16.2833476632999,16.2945004173324,6.26795891252774,16.2833476632999,3.72021252825734,3.72034391663787,26.1253009762848,16.2833476632999,36.0825772855668,36.1016209958306,17.8882497373824,17.5513508836222,17.5513508836222,17.5548311966928,9.23699208161984,17.5513508836222,5.48241846269504,5.48261208767686,33.4207757579675,17.5513508836222,39.2199931004988,39.2234148714039
"BEL",73.4281425106476,103.762793296287,103.762793296287,103.782003164703,25.1047739516989,103.762793296287,17.1747582263871,17.1750790851048,115.497968795671,103.762793296287,179.145443603632,179.165373052766,81.22931498246,88.3117081350559,88.311708135056,88.3189770206654,36.9965089814511,88.3117081350559,25.3101700178336,25.3106428622598,133.423910184578,88.3117081350559,162.653358064844,162.658646832315
"BGR",30.3688851221297,42.9208090799568,42.9208090799569,42.9290489399577,9.95675023406636,42.9208090799568,6.5161223090899,6.51622025631835,47.0377787172128,42.9208090799568,72.6494902528789,72.6559031351352,34.5718571276966,37.0412158720492,37.0412158720492,37.0454401651215,14.6731056080978,37.0412158720492,9.60270656076408,9.60285090404811,58.0547007985506,37.0412158720492,69.4218516161339,69.4240639383314
"BIH",13.9947786470345,20.848716776058,20.848716776058,20.8633058770816,3.99137373077543,20.848716776058,2.61016191630524,2.61028917813571,22.7302443865219,20.848716776058,36.7755209441247,36.7922267820603,15.8023487820667,18.035414621467,18.035414621467,18.039468842316,5.88202444535328,18.035414621467,3.84655440297614,3.84674194672632,27.1922242667101,18.035414621467,34.3261472298286,34.3282447853069
"BLR",35.2250273035895,42.6868601674204,42.6868601674204,42.6977214711589,15.70569787849,42.6868601674204,9.83240206347993,9.83264767816772,54.3411902587476,42.6868601674204,74.8627183252701,74.8749606386877,43.9696423683921,43.4326689338072,43.4326689338073,43.4362091935155,23.1452389788274,43.4326689338072,14.4898556724968,14.490217630984,69.965504595776,43.4326689338072,79.5630382864756,79.5645601329253
"CHE",86.3897858042216,124.957550622848,124.957550622848,124.990127142247,28.0131789115551,124.957550622848,19.5603197486311,19.5607010943448,138.830438074026,124.957550622848,219.637591630326,219.672947123372,91.4204290487304,99.6948267120478,99.6948267120475,99.706780555937,41.2825794486075,99.6948267120478,28.8257343664037,28.8262963495608,151.891714888621,99.6948267120478,185.170074945202,185.180652493696
"CYP",34.6967458182484,48.3804024331606,48.3804024331607,48.5061359720309,13.692563106992,48.3804024331606,9.08184613155948,9.08284532097048,61.805969874433,48.3804024331606,99.1014127438239,99.2420676146742,37.1523306946352,38.1920297602522,38.1920297602523,38.2386844055927,20.1785140524093,38.1920297602522,13.3837732465087,13.385245736167,66.5730076937513,38.1920297602522,81.1921232092616,81.2274435692888
