"","vsly_w2074","heat1_w2074","heat2_w2074","vsl55_w2074","vsly_w2044","heat1_w2044","heat2_w2044","vsl55_w2044","vsly_w4574","heat1_w4574","heat2_w4574","vsl55_w4574","vsly_c2064","heat1_c2064","heat2_c2064","vsl55_c2064","vsly_c2044","heat1_c2044","heat2_c2044","vsl55_c2044","vsly_c4564","heat1_c4564","heat2_c4564","vsl55_c4564"
"ALB",19.7635770481798,15.8751119636562,16.5079815773097,28.8372942670573,8.95839341229001,15.8751119636562,3.47687091658588,5.82179061626543,30.4830208926129,15.8751119636562,29.4356895798143,51.6701684920305,22.2831026805876,12.9269536541386,13.2801062223569,23.7201434474794,13.2018429233748,12.9269536541386,5.12380977181078,8.57948090818064,34.0531831210001,12.9269536541386,23.8513560142738,43.3437221990007
"AND",80.6961585340766,105.898506892613,23.0663805404603,109.286151879865,32.3013478755678,105.898506892613,35.9798019609207,23.3038696095569,124.589679822244,105.898506892613,11.3540599360528,187.271065672961,94.9177812604196,53.0228660476727,71.1579754387832,101.910502400903,47.6019863429421,53.0228660476727,53.0228660476727,34.3425446877681,148.765231867985,53.0228660476727,91.7965256079974,178.805802838265
"ARM",26.4925447411866,21.427131324702,20.2598925763246,36.5037426734594,9.06798466109656,21.427131324702,3.94192041562866,5.96895451321121,48.1602986274291,21.427131324702,40.5515844798995,74.4743009993941,31.969046551087,19.1179907381731,18.3301818447809,35.9130390812843,13.3633458163528,19.1179907381731,5.80914587566329,8.79635401946916,60.8265807284739,19.1179907381731,37.7503707732505,77.971152188947
"AUT",138.784425635891,94.8964948723307,104.401694457339,205.320479379184,42.7050353987815,94.8964948723307,16.6328018213971,29.6565787336844,222.08536720546,94.8964948723307,180.49742507188,357.621282781885,147.957072057064,85.9611483773161,93.120536754317,165.485874127696,62.9337363771518,85.9611483773161,24.5114974210063,43.7044318180613,245.696411973517,85.9611483773161,171.990674736025,305.480825986889
"AZE",26.9852441596011,21.8959307869874,18.5337325057817,33.4471171201906,12.1937964114963,21.8959307869874,3.93566520824364,7.44592054875146,50.2962463308358,21.8959307869874,41.5399712637383,74.4244413181668,34.5438369639361,18.7121467538556,16.8857307757872,35.759746630139,17.9698052379946,18.7121467538556,5.79992767530642,10.9729355455285,64.3009646894883,18.7121467538556,36.789256016722,80.2621535007274
"BEL",144.150614442025,99.8142162429949,109.266551562106,209.212910196489,49.2748310653573,99.8142162429949,20.5821993969398,34.2853774157693,226.748492949665,99.8142162429949,186.474233912253,361.503016122678,159.481297546886,94.1959681504261,100.641064523427,176.781998435962,72.6155405173688,94.1959681504261,30.3316622691744,50.5258193495548,261.982663274799,94.1959681504261,183.605974990104,325.763958997786
"BGR",59.06035838681,34.0118397408103,38.2864851259086,88.7366551973862,19.0808679151019,34.0118397408103,5.99139519866169,12.8751988629321,91.7082845499987,34.0118397408103,64.6592002090193,150.686399824369,66.3412019438078,31.802445766955,34.1194694313172,74.8122603282039,28.1191737696239,31.802445766955,8.82942450329092,18.9739772716894,111.447645507029,31.802445766955,63.9646670503128,140.707935771638
"BIH",27.6631379596958,17.9805112345606,19.7827667351661,42.4920719111276,7.80183447671186,17.9805112345606,2.66954911709866,5.19496808269459,45.0070061295403,17.9805112345606,34.7268710123054,75.0617394796005,31.0281901895016,17.2667620297453,18.82999249654,36.405040285205,11.4974402814701,17.2667620297453,3.93407238309276,7.65574243765519,53.4521354178777,17.2667620297453,35.9325255955301,69.4131266783765
"BLR",67.9485414971672,55.6422696789202,57.9232001066937,91.8910687815672,29.6363470003078,55.6422696789202,16.1792801377861,19.7380823276675,105.469407978878,55.6422696789202,98.8049106989955,162.553754815262,83.7042186361921,59.437183657496,61.8382080043222,91.142723210595,43.6746166320326,59.437183657496,23.8431496767375,29.0877002723522,133.674630717174,59.437183657496,109.268825013031,168.608271521481
"CHE",170.780529239057,130.980757368102,141.989883109629,251.086887665808,55.244410398256,130.980757368102,24.0452080958382,38.929456740676,274.568497660606,130.980757368102,247.941496584621,441.671346986234,180.435642419258,117.859693518923,125.104177178572,199.040696165284,81.4128153237457,117.859693518923,35.4350435096564,57.3697257231016,299.867124417883,117.859693518923,233.25416478983,369.910125491647
"CYP",66.5425239615236,41.2462464640366,38.388804652424,96.8879476852913,26.5878799188348,41.2462464640366,8.00534194237677,18.1436545085467,118.110319401518,41.2462464640366,77.6034748698936,198.519928144604,71.8484549001629,34.1122214807227,31.3911570650442,76.6414738549168,39.1821388277567,34.1122214807227,11.7973460203447,26.7380171704899,128.468904747986,34.1122214807227,65.3530642824075,163.139019527671
"CZE",89.0338219157505,60.4450370243553,65.1751703752666,140.225254132813,27.1934730915805,60.4450370243553,9.96896859330625,18.939706446485,145.577847341038,60.4450370243553,115.653231003099,251.123287900295,90.4886447845455,54.1238955682042,55.3107412328866,103.395788642715,40.0745919244345,54.1238955682042,14.6911116111882,27.9111463421884,157.533060552227,54.1238955682042,109.329793108027,203.780968078972
"DEU",153.791295322441,91.3094777791364,104.7143671627,228.084533297891,44.1497982578574,91.3094777791364,14.9383066799487,30.6197011911543,239.434705335233,91.3094777791364,174.840443175037,382.3287020843,170.755511252463,83.4415499195083,94.2931565015298,194.485325755504,65.0628605905268,83.4415499195083,22.0143466862402,45.123770176438,280.641537437259,83.4415499195083,169.439641505233,349.772828761368
"DNK",196.036893077328,127.140644925472,141.975258523106,303.201052310185,53.06578907513,127.140644925472,18.2448841523357,36.612495604944,316.521536422007,127.140644925472,246.245349539096,527.860625295714,201.737715528862,109.630419876912,117.09695486119,229.134614106489,78.2022154791391,109.630419876912,26.8871976981789,53.9552566809701,350.147726827798,109.630419876912,225.470912747369,439.587240310269
"ESP",79.694366662311,53.8505339782698,58.6413871346018,117.095119679134,23.8563022740588,53.8505339782698,9.45012654739073,17.4016631291892,129.381021483013,53.8505339782698,102.413484390649,205.805830155013,88.0326374398571,49.9616224613524,53.3982090625741,99.2982575769811,35.1566559828235,49.9616224613524,13.9265022803653,25.6445561903841,151.010307604125,49.9616224613524,100.41078570043,187.02312592901
"EST",96.9601239444456,64.6438353294315,68.5037630527645,135.22473549949,40.8384326582332,64.6438353294315,18.0182778180657,27.7727677003651,149.359266057089,64.6438353294315,115.640548399229,235.549419270608,113.276527581943,65.177655902192,67.1913086077837,122.963849702562,60.1829533910806,65.177655902192,26.55325152136,40.9282892426434,181.29351982308,65.177655902192,119.251816035778,228.057774237404
"FIN",156.936979645521,97.0849326281893,108.626009927858,236.01126675017,54.8836554296872,97.0849326281893,22.1725198872827,37.6772528075806,240.033422985162,97.0849326281893,179.020361036671,397.503812716124,167.242398792187,92.0710221986888,97.4712572126475,186.046612896866,80.8811764226971,92.0710221986888,32.6752924654693,55.5243725585399,270.873980337927,92.0710221986888,175.22500038922,342.670451953742
"FRA",124.878354167787,81.5488038629847,89.8660296395539,175.834049505509,42.5977961869264,81.5488038629847,18.4846899155913,30.3045763844392,194.799525392152,81.5488038629847,150.525157379362,299.503497768813,141.923210920074,82.8853102547541,88.5052050916283,157.174217742363,62.7756996438916,82.8853102547541,27.240595665082,44.6593757244368,235.305015980722,82.8853102547541,160.787955646136,289.924305197219
"GBR",160.092657229041,106.646024080564,113.290286029908,231.952892886763,59.042124071709,106.646024080564,22.7671265820035,40.9458123943476,255.087409898994,106.646024080564,198.388551956598,411.513255436619,173.618136820059,96.1718807073383,98.9262705528966,185.382810921083,87.0094460004133,96.1718807073383,33.5515549629525,60.3411972127229,286.112628611056,96.1718807073383,183.840328676535,347.797144329495
